,userid,itemid,courseid,finalgrade
363,2261,3600,4,51.56587565837234
364,1638,15,0,63.57177244250805
365,334,50,0,69.10254444021916
366,1983,8,0,64.15630552841901
367,2805,69,0,76.58169330437254
368,1676,1138,1,42.65655681931349
369,1626,124,0,67.4262771278604
370,2268,16,0,46.3710111546472
371,1464,8,0,52.13093685477146
372,736,9,0,80.37902461876436
373,2626,96,0,63.69722150756699
374,3093,49,0,33.91843161392221
375,2375,1742,1,33.50367363589389
376,1657,2939,3,86.40804560759578
377,272,96,0,61.019152829497216
378,757,5216,6,75.48401684446524
379,1554,1132,1,35.00919607126066
380,1473,5083,6,66.32877230026172
381,1675,1178,1,65.837414817466
382,2742,1175,1,53.960916438786114
383,186,55,0,52.522918548738154
384,2337,1091,1,17.26464296408944
385,413,5126,6,76.52790982286668
386,1776,5143,6,91.8301711871714
387,1990,1219,1,62.04664846426758
388,1089,5062,6,64.11427964443165
389,1749,1151,1,68.7201728491651
390,2978,50,0,69.22304079270587
391,1949,49,0,45.336170185269744
392,609,161,0,66.46471503061561
393,2795,5345,6,24.55203657901928
394,1503,1,0,31.8677974255402
395,339,15,0,36.93815041103455
396,2866,3849,4,79.57401655484914
397,568,5081,6,70.00531007442491
398,767,45,0,66.4426968130981
399,874,58,0,45.85408045134237
400,2157,1092,1,72.1236733568147
401,2074,71,0,52.37311992503068
402,3114,42,0,48.169385744057166
403,1597,5425,6,30.7418164197399
404,2838,288,0,67.65244672050032
405,1410,5148,6,54.291241273473474
406,1440,2318,2,18.720695659396046
407,2734,3991,4,25.71806381270477
408,1934,1097,1,63.11262191994329
409,3019,8,0,63.50255023247162
410,3101,5079,6,76.09301022704122
411,2894,13,0,23.501099537897783
412,112,3911,4,46.00341252353371
413,2944,5129,6,20.541863638430478
414,154,5483,6,60.08207550529936
415,926,18,0,60.857710439561444
416,2810,5292,6,44.45702489414761
417,901,85,0,69.86431310543456
418,2404,1188,1,29.83367114700034
419,1991,5288,6,20.622522566722466
420,2578,71,0,33.59471745124802
421,2223,42,0,56.73128333899978
422,1131,76,0,67.72127936948337
423,3130,5285,6,82.45472568779158
424,2806,5079,6,78.04407785537093
425,2161,4253,5,83.23354823963552
426,3165,13,0,79.14767808976755
427,2697,4330,5,66.25737297065785
428,1392,1917,2,82.49598198795599
429,2535,1232,1,66.52525471239632
430,2007,1192,1,69.00891971699639
431,1567,5122,6,81.60434318402376
432,786,5056,6,81.73812887653841
433,1922,4241,5,84.48685496698286
434,546,5609,6,71.68939394369256
435,339,1179,1,66.20103950680472
436,1335,24,0,87.17378511229298
437,1795,5530,6,80.59120230003388
438,1969,4249,5,86.52635415787628
439,2210,6271,7,79.17385841317213
440,2905,1258,1,23.48313477171992
441,1730,86,0,34.05053528484127
442,1994,54,0,17.442604517756752
443,19,5109,6,31.6014707135218
444,2264,1058,1,69.50013867487314
445,966,582,0,63.92300273637622
446,3118,700,0,49.770743995171706
447,2742,1196,1,73.14874450162242
448,2246,15,0,33.157653154529434
449,1700,1879,2,48.977137069162254
450,2147,5442,6,74.05599754951587
451,2348,4,0,65.53064038515703
452,2469,1,0,16.391848454335992
453,2823,73,0,47.456545464357774
454,2578,45,0,63.11277803436131
455,326,5080,6,67.35363407577503
456,2263,3250,3,64.80208319992865
457,2482,4274,5,67.17977952635123
458,611,1039,1,72.58597766210436
459,2370,8,0,56.89931728589548
460,1616,5078,6,78.4241155510039
461,327,1930,2,66.85018780778896
462,2681,5068,6,34.576479474033356
463,2090,4587,5,18.913322737794527
464,467,5111,6,78.24091138185301
465,2587,1097,1,63.28346428325919
466,672,55,0,64.72399418598444
467,2976,5289,6,68.98218894103113
468,2243,5085,6,66.94841554121312
469,2394,5292,6,50.80701346546313
470,954,97,0,64.31999037309005
471,590,1919,2,69.53154458370211
472,2303,4155,5,80.48044391222088
473,164,1917,2,36.229389050465215
474,1925,2944,3,64.73814218350418
475,1272,2434,2,57.80443717193299
476,2105,4251,5,85.71516500331109
477,2161,71,0,37.8059219743385
478,513,124,0,52.86295745660105
479,854,5077,6,40.776228423571915
480,1083,1885,2,85.72578691188382
481,2301,50,0,50.99297385051687
482,1035,4103,4,62.53230008192497
483,2629,85,0,49.156891467592594
484,2411,95,0,68.7199574777377
485,1672,1052,1,53.692216428150395
486,2606,5081,6,37.3057324320463
487,3174,5115,6,57.122179599144715
488,443,4605,5,24.8144681156126
489,1703,5127,6,53.00875476350141
490,1716,5287,6,68.78761271927823
491,636,1046,1,16.397965673333196
492,1632,63,0,92.89910453112107
493,1993,4605,5,25.15452780260269
494,2119,1,0,53.82435573202442
495,2237,5087,6,65.84813764482067
496,2956,1880,2,50.86039900941736
497,3227,85,0,50.092558140047025
498,1281,96,0,82.07852622804285
499,1061,5092,6,35.70482687386083
500,1421,1862,2,59.44313624883119
501,1304,5063,6,49.95804104240793
502,1800,4014,4,52.29708854056465
503,3225,73,0,61.35296530244782
504,1565,5072,6,65.41126064560999
505,1119,63,0,52.659816785740034
506,669,5081,6,53.17413817234035
507,1841,1094,1,68.01335508055145
508,2766,1048,1,66.01329671172765
509,3098,1889,2,52.12246292221698
510,885,71,0,60.467208141254105
511,600,1128,1,37.89677462877085
512,1985,1917,2,45.44540973816306
513,3061,115,0,29.675478378179015
514,1845,5343,6,60.33462824534626
515,2609,429,0,75.16324011426413
516,1493,1917,2,50.715168699433875
517,1262,1,0,86.43684991467701
518,208,24,0,50.026830338084274
519,2472,71,0,48.10639899399049
520,436,5482,6,63.36461926357844
521,963,5090,6,53.01581892532814
522,2232,90,0,67.59952272874638
523,70,90,0,31.814832100243258
524,257,76,0,62.68765276835393
525,1341,1919,2,80.66869859772389
526,1225,5343,6,49.12731252430913
527,2332,1871,2,79.84224714661289
528,1749,5129,6,51.00880528593555
529,1525,1251,1,67.52730429722766
530,503,5289,6,66.97928426928418
531,1584,1213,1,54.38714018170882
532,1585,2149,2,63.65443021650027
533,3226,5064,6,50.61125939035935
534,322,5612,6,65.65480726595642
535,2331,2940,3,30.342005492435984
536,933,4,0,75.70421851873269
537,2451,433,0,62.86719033807451
538,2486,5075,6,66.8972364368275
539,3063,1885,2,65.50572278876601
540,2917,86,0,87.63508849283672
541,961,50,0,71.51146621547053
542,258,1357,1,59.39819506496731
543,73,8,0,48.00768131111767
544,1464,5061,6,56.801588647976985
545,1284,5289,6,52.194130709640575
546,541,5288,6,31.99427481954846
547,138,3686,4,68.06178345683267
548,1040,5079,6,58.53632112067229
549,1091,1926,2,63.833790371120195
550,844,1046,1,52.234086087457726
551,2179,5061,6,34.83453644828627
552,1539,1213,1,49.272546101745206
553,2517,1230,1,64.80730442867961
554,2157,33,0,46.56446672082979
555,1537,5500,6,49.81236204191963
556,1346,5071,6,69.69025052042782
557,2394,89,0,66.65226665566829
558,915,2109,2,43.62628460162375
559,787,4056,4,68.18103453863615
560,1690,5078,6,48.46700954931266
561,2750,5143,6,91.38830498345447
562,891,3897,4,38.37150057839926
563,1544,15,0,69.38569969404192
564,1898,1151,1,36.737408555151475
565,1528,113,0,54.21999607111098
566,2235,5056,6,50.69866393088899
567,2452,5071,6,43.13829366998066
568,195,5257,6,7.017761181077754
569,941,1862,2,65.60502153407127
570,1022,516,0,48.89861192857067
571,3102,5083,6,37.56405339080205
572,266,5129,6,62.57599039565374
573,156,1153,1,16.25261421308399
574,2392,1925,2,46.805497140204025
575,1769,5501,6,33.296877731335066
576,1616,5134,6,69.27377533976552
577,1406,1132,1,69.65782705326546
578,1164,4255,5,63.0751900592344
579,988,81,0,86.93669505489171
580,1748,1869,2,50.69425075635138
581,3190,1873,2,52.64965633832358
582,136,1,0,82.87821467513267
583,87,3252,3,65.2813044021668
584,1383,29,0,53.92663010216452
585,195,5114,6,26.976744407484095
586,489,1266,1,82.05389722053228
587,334,1211,1,34.89477680306208
588,787,1116,1,29.435077703548533
589,1748,95,0,69.14363602769738
590,216,423,0,36.409408304599545
591,3201,4287,5,69.19043904512858
592,3130,5455,6,57.77130747615625
593,1461,5104,6,15.99334487414145
594,2091,49,0,67.9030850122833
595,1896,42,0,35.9891481615807
596,1215,5774,7,73.66665214303043
597,1043,5120,6,74.31781101731099
598,686,5084,6,68.7132411210458
599,1730,16,0,50.84431891992177
600,2985,69,0,45.26992678726812
601,152,5087,6,81.33440720425153
602,3003,5121,6,63.59849101099698
603,115,71,0,52.72861891508168
604,2688,5124,6,60.843631171677366
605,206,55,0,72.9019833794646
606,427,1,0,64.10965169613206
607,1212,4434,5,49.40436232782961
608,1668,582,0,54.42230249456032
609,833,90,0,53.07567031047164
610,135,54,0,46.434764099648916
611,58,5291,6,70.84205641293185
612,1626,152,0,57.60282286057644
613,1777,5148,6,19.679641326668367
614,2117,1351,1,65.28133170062405
615,1101,4057,4,27.339092176313617
616,1458,4236,5,39.51467169084191
617,243,2941,3,70.68472645136323
618,1614,1215,1,35.6535414820227
619,219,1157,1,61.45013832823519
620,436,5084,6,83.09153972882176
621,3217,2943,3,80.29499673195107
622,2830,12,0,32.62745909075162
623,3217,2944,3,68.32345083429186
624,879,5129,6,43.772252337696415
625,1582,1243,1,31.817459248485815
626,1617,35,0,18.76289487620522
627,460,5119,6,62.56767486781582
628,986,1153,1,63.88122011379279
629,1795,5532,6,49.24651990088027
630,328,5610,6,72.36392850251893
631,1432,55,0,69.28461819588902
632,954,67,0,35.760820132697155
633,2067,3687,4,56.489428396346355
634,1554,4403,5,32.85066098778436
635,308,1885,2,68.56799821334788
636,2193,4248,5,77.52241388296429
637,580,5083,6,42.562462516879805
638,520,4048,4,77.5198786339947
639,902,38,0,46.21430697446188
640,371,5061,6,74.77239370068217
641,2781,1046,1,44.19296897407131
642,3093,64,0,87.9519766991722
643,2837,58,0,71.07601933997633
644,344,19,0,88.33214094617763
645,998,5062,6,64.0351055157016
646,1479,1152,1,60.726208053637436
647,2246,5056,6,63.26113574310691
648,2862,37,0,50.02926929985466
649,1675,85,0,19.968674213228077
650,573,1,0,69.76884954970785
651,2196,5293,6,21.670424080127365
652,951,22,0,51.4645515218897
653,1349,1,0,66.06669862500425
654,1563,76,0,64.27843042087099
655,669,5611,6,26.42091285665209
656,3042,1873,2,54.891593895286114
657,1603,5114,6,70.7290259979396
658,1927,1905,2,66.44717080162756
659,2856,1889,2,24.274433448053063
660,2837,1862,2,48.72630434745343
661,377,1178,1,43.269058616280496
662,3252,5108,6,33.07714688423362
663,1337,4434,5,22.559643733345336
664,1617,71,0,49.895899198528156
665,697,4147,5,47.60518356938798
666,2349,4297,5,53.08195755288649
667,2070,5444,6,47.45981199080579
668,1035,5123,6,29.508445363933802
669,2355,4251,5,81.1439069263507
670,1091,99,0,29.525538335463846
671,689,58,0,87.49797481839236
672,3252,5143,6,52.20876016762657
673,1337,1062,1,20.864319175124464
674,2954,73,0,64.11282281847782
675,157,5063,6,63.128317346795995
676,651,0,0,40.6899516581145
677,1482,1885,2,76.18134866927257
678,2067,16,0,64.52122123439135
679,1216,5065,6,61.75493525687568
680,1824,1179,1,23.743347911327145
681,2897,15,0,54.658864450401474
682,1385,1096,1,65.8655587482455
683,2968,24,0,65.66087055107025
684,195,5072,6,53.357634043783314
685,139,49,0,23.703851037466002
686,600,2796,3,32.7118580941382
687,2535,1348,1,66.25578359906842
688,1579,5345,6,65.8913664081755
689,1484,10,0,39.56634881195761
690,191,1984,2,39.62088172791482
691,2293,5087,6,61.3640237423711
692,1215,1127,1,54.20324095583585
693,2012,4,0,48.07675374990557
694,2965,99,0,18.369762673271545
695,2833,131,0,71.47494256336095
696,1208,4267,5,47.16690079323402
697,473,749,0,24.099835650049265
698,963,5068,6,94.99066520881648
699,2988,22,0,36.481806000447996
700,497,4251,5,48.27515238747125
701,41,1908,2,51.287529686650565
702,1827,1074,1,59.26704461755568
703,2327,1128,1,67.3246145143751
704,886,1213,1,86.06351760710989
705,674,4251,5,68.83514417160393
706,212,38,0,67.99728090719265
707,2543,1097,1,44.15595224439872
708,2330,5068,6,51.11384727563947
709,2659,1157,1,53.357871595679086
710,151,76,0,58.07987775082926
711,1270,3911,4,83.83504490258822
712,1897,5143,6,65.96271850456067
713,3200,5346,6,61.438664010563414
714,2046,1151,1,51.49993207861121
715,1126,5090,6,63.578562516107965
716,449,1919,2,76.9385448012115
717,533,3897,4,47.092034632247305
718,899,12,0,53.53326426264668
719,1478,4226,5,69.56017231232393
720,1763,16,0,42.928611077806956
721,1663,5134,6,43.71942940247365
722,1035,5108,6,71.97787209385652
723,3170,1230,1,34.193042743113814
724,1239,1098,1,66.01717221893949
725,1468,1956,2,15.283717858546625
726,1984,8,0,88.96749718997053
727,2557,3045,3,69.0898299768676
728,689,5065,6,65.16603636322682
729,2688,4107,4,48.450820956663115
730,3123,21,0,83.14820230435653
731,366,8,0,50.581029663864406
732,2260,6332,7,31.946048019840077
733,3188,5068,6,77.87720397231539
734,1730,67,0,67.21760735569896
735,1032,16,0,47.473027325555144
736,745,4283,5,30.09242982411821
737,1899,1158,1,50.09316617253334
738,3260,1709,1,49.29413991467323
739,2866,3818,4,49.36653387107136
740,3260,608,0,50.9867582317545
741,577,5066,6,40.39314757515022
742,37,1099,1,41.78884834834142
743,3130,5299,6,53.10283853414838
744,306,3820,4,48.11546409738086
745,193,2119,2,45.27355637760029
746,1485,5064,6,25.847315846133405
747,965,4,0,51.22075090512779
748,469,1862,2,23.428468867006252
749,240,1974,2,35.359508703820445
750,700,5133,6,73.97691877401574
751,902,1218,1,49.27885509007239
752,2486,5428,6,34.195309360172224
753,1647,71,0,67.88789911609032
754,2847,5344,6,41.79241775497292
755,888,5128,6,72.90142536083403
756,2017,5074,6,68.98604851665951
757,529,5284,6,49.21348581104242
758,1241,81,0,48.431219584467954
759,2476,1035,1,43.47637342455234
760,1102,5062,6,66.1816086539677
761,853,86,0,49.65129896513272
762,2723,1152,1,76.68073396266962
763,1916,7471,7,77.61467144361377
764,1002,1686,1,17.573800758210176
765,2810,5289,6,66.03021548498874
766,2629,4274,5,28.32452532617566
767,3226,5071,6,68.77942289219129
768,1865,1221,1,67.58885150334702
769,221,21,0,67.96677062518852
770,616,2941,3,51.41998978439045
771,1588,1048,1,47.9321209857158
772,605,81,0,51.63240164031713
773,1632,37,0,75.57501553148144
774,1668,583,0,86.41358835274507
775,1055,10,0,37.564675219519856
776,2237,4300,5,54.60945936297223
777,1304,5533,6,40.951595336843475
778,605,5133,6,65.48520593986393
779,1291,5774,7,21.945704404499878
780,2442,45,0,18.059738790930552
781,3013,4166,5,35.517418445499814
782,954,19,0,36.27712387108581
783,1304,5061,6,53.860800160324246
784,2420,97,0,71.79985146416789
785,1505,97,0,33.930006972526755
786,785,21,0,60.03378799256886
787,2056,35,0,80.41264964837748
788,1401,35,0,33.82013757877036
789,3051,1152,1,68.22645709424044
790,1764,5056,6,46.20949073718592
791,2213,81,0,41.79975246179207
792,531,42,0,65.00106674554196
793,215,5292,6,74.27978347378746
794,1559,1,0,32.97575623914893
795,2670,5291,6,69.39270212701685
796,296,33,0,52.10766111272155
797,2961,4287,5,60.12865602957432
798,1645,4281,5,59.82245325050663
799,3207,96,0,59.701747110311736
800,844,1917,2,25.720197153973952
801,2859,1851,2,70.27652122465231
802,1264,161,0,50.76424723957069
803,223,5065,6,57.32853273037441
